ID,GRADE,NAME,HP,DAMAGE,STAGE,MONSTER_COUNT
2000,0,10000,0,0,0,0
2011,1,12011,30,4,1,2
2012,1,12012,30,4,1,2
2013,1,12013,30,4,1,2
2015,1,12015,30,4,1,1
2021,1,12021,60,6,2,3
2022,1,12022,60,6,2,3
2023,1,12023,60,6,2,3
2025,1,12025,60,6,2,2
2031,1,12031,140,8,3,3
2032,1,12032,140,8,3,3
2033,1,12033,140,8,3,3
2035,1,12035,140,8,3,2
2041,1,12041,200,10,4,3
2042,1,12042,200,10,4,3
2043,1,12043,200,10,4,3
2045,1,12045,200,10,4,2
3015,2,13015,45,6,1,1
3025,2,13025,90,9,2,1
3035,2,13035,210,12,3,1
3045,2,13045,300,15,4,1
