ID,NAME_ID,DESC_ID,LEVEL,SUM_OPERATION,MULTIPLICATION_OPERATION,TARGET,BARRIER,RECOVERY,STATUS_EFFECT
1000,10000,20000,0,0,0,0,0,0,0
1111,11111,21111,1,9,0,1,0,0,0
1112,11111,21112,2,18,0,1,0,0,0
1113,11111,21113,3,27,0,1,0,5,0
1121,11121,21121,1,0,0,1,0,5,0
1122,11121,21122,2,0,0,1,0,10,0
1123,11121,21123,3,0,0,1,0,20,0
1131,11131,21131,1,3,0,3,0,0,0
1132,11131,21132,2,6,0,3,0,0,0
1133,11131,21133,3,12,0,3,0,0,0
1141,11141,21141,1,0,100,1,0,0,0
1142,11141,21142,2,0,125,1,0,0,0
1143,11141,21143,3,0,250,1,0,0,0
1151,11151,21151,1,30,0,1,0,0,0
1152,11151,21152,2,40,0,1,0,0,0
1153,11151,21153,3,50,0,1,0,0,0
1161,11161,21161,1,21,0,1,0,10,0
1162,11161,21162,2,27,0,1,0,15,0
1163,11161,21163,3,33,0,1,0,20,0
1171,11171,21171,1,28,0,2,0,0,0
1172,11171,21172,2,36,0,2,0,0,0
1173,11171,21173,3,44,0,2,0,0,0
1181,11181,21181,1,0,400,1,10,0,0
1182,11181,21182,2,0,500,1,20,0,0
1183,11181,21183,3,0,600,1,30,0,0
1191,11191,21191,1,60,200,1,0,0,0
1192,11191,21192,2,80,250,1,0,0,0
1193,11191,21193,3,100,300,1,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
